Chainage(km),IRI Average (m/km),Rut Lane (mm),Alligator Cracks Extent,Ravelling Extent,Deflection in  microns D(1) at (0),Deflection in  microns D(2) at (200),Deflection in  microns D(3) at (300),Deflection in  microns D(4) at 450),Deflection in  microns D(5) at (600),Deflection in  microns D(6) at (900),Deflection in  microns D(7) at (1200),Deflection in  microns D(8) at (1500),Deflection in  microns D(9) at (1800),Load kPa,Load kN,Temp,Cluster,Optimized_Cluster,Section_Start,Section_End
177.31,5.42,17.11,90,0,453.9959636730575,381.3420787083754,322.8153380423814,215.6807051909892,158.8736532810969,90.69738480697386,65.79078455790784,52.83935242839352,41.88044831880448,584.0,40,35,3,3,True,False
177.61,6.06,16.76,90,3,533.9043824701196,426.3346613545817,340.6772908366534,223.1474103585658,141.4741035856574,77.8824721377913,58.63221884498481,47.48733535967579,41.40830800405269,601.0,40,35,3,3,False,True
177.91,6.89,17.33,75,4,377.8391959798995,288.391959798995,237.1356783919598,172.4969036413178,134.8451820658905,81.48250692172162,59.33299773470929,48.25824314120312,46.24465139692928,591.0,40,35,1,1,True,True
178.21,3.32,10.17,70,4,401.7835671342685,326.6332665330661,274.5290581162325,203.3867735470942,156.2925851703407,95.17034068136272,70.12024048096191,56.09218436873747,46.07214428857715,608.0,40,35,9,9,True,True
178.51,5.2,5.65,0,0,351.6012084592145,276.0725075528701,225.7200402819738,153.2124874118832,104.8741188318228,47.02809265648102,23.37111877772302,12.52833908329227,7.19033232628399,592.0,40,35,2,2,True,True
178.81,4.6,5.79,15,5,589.5428428678491,470.6320259805146,383.6972270796902,254.7939045715713,168.8583562328254,66.93479890082438,30.9617786660005,16.67999059487421,13.85845285680696,602.0,40,35,0,0,True,True
179.11,6.72,13.09,83,3,635.1637909477369,543.140785196299,454.1185296324081,294.0785196299075,196.0540135033758,96.02900725181294,58.01950487621905,38.01450362590647,25.28301886792453,581.0,40,35,11,11,True,False
179.41,4.79,15.16,85,5,480.7511266900351,378.8806919358942,316.8099720172984,233.3706436021369,171.2999236835411,88.87814805393029,52.24624777410328,33.93029763418977,20.70211142203001,591.0,40,35,11,11,False,True
179.71,4.19,6.67,10,0,406.4598982311606,310.5064211291495,255.2604797673855,177.722316452629,125.3840562151684,62.38429852192876,36.21516840319845,23.61521686455052,16.83062757450933,584.0,40,35,6,6,True,False
180.01,5.53,6.57,8,4,614.0,487.0,382.0,246.0,157.3255813953488,80.7751937984496,45.89147286821705,29.41860465116279,17.7906976744186,584.0,40,35,6,6,False,False
180.31,4.47,7.74,8,0,633.962840417409,505.6859251717995,411.0053448714686,275.6019343344362,183.975566301858,74.02392466276406,28.21074064647493,7.849325528124204,-2.075848303393215,598.0,40,35,6,6,False,False
180.61,3.68,6.77,6,3,438.3484390735146,337.643504531722,275.2064451158107,187.5931520644512,125.1560926485398,48.62034239677745,16.39476334340383,1.289023162134946,-7.774420946626385,589.0,40,35,6,6,False,False
180.91,7.86,5.61,8,3,507.1887550200803,385.7028112449799,310.4016064257028,207.9919678714859,139.718875502008,57.38955823293172,19.23694779116465,0.1606425702811194,-6.867469879518076,607.0,40,35,6,6,False,True
181.21,4.62,13.49,25,3,438.6998276286629,334.2920462940162,265.3435114503817,171.7704998768776,108.7318394484117,43.72322088155627,15.15882787490766,0.3841418369859682,-9.465648854961833,584.0,40,35,7,7,True,True
181.51,4.37,7.54,0,4,626.00790513834,492.608695652174,399.7233201581028,266.3241106719368,173.4387351778656,68.69565217391305,27.19367588932806,7.430830039525695,-3.43873517786561,583.0,40,35,2,2,True,False
181.81,4.79,4.37,0,2,446.7034621174109,335.3135975915705,269.0817862518816,182.7797290516809,124.5760160561967,51.31961866532865,16.19668840943302,0.1404917210235865,-8.322534197264218,612.0,40,35,2,2,False,False
182.11,4.68,6.26,0,2,675.1544636341523,553.5295548528338,460.1216249087813,338.4967161274629,243.1427876429093,117.6258817805887,58.27292629530528,29.08294818778886,13.51495986378011,582.0,40,35,2,2,False,True
182.41,3.77,6.28,8,0,533.8230219373921,411.207729468599,333.9130434782609,230.1503574069509,157.1900419028839,67.46857283707173,29.01651466600937,10.2834606852354,-0.5619916194232175,601.0,40,35,6,6,True,True
182.71,17.65,13.8,15,3,315.9563360227812,252.3588039867109,211.5424774560987,150.7925961082107,104.280968201234,43.53108685334598,14.10536307546274,2.04351014421902,-3.823026154974329,596.0,40,35,5,5,True,True
183.015,2.41,2.62,0,0,378.0959559110526,288.5161795342823,231.9817651654934,157.5624336389237,107.5217748432185,44.40915434982563,15.76829766042199,1.665455387802984,-8.183670793994573,577.3125,40,35,2,2,True,True
